Libellé produit,Univers,Nature,Couleurs détectées,Dimensions,embedding,sim_univers,sim_nature,univers_suspect,nature_suspect,Univers suggéré,sim_uni_best,Nature suggérée,sim_nat_best
rechauds gaz 1 feu 8000 w prf300 8,Petit Electroménager,Rechaud,,,"[ 0.04222115 -0.00279349 -0.00137863 ...  0.01604307 -0.00303644
  0.03902892]",0.085463524,0.50394773,False,False,Petit Electroménager,0.12661634385585785,Rechaud,0.5039477348327637
casa lit pin lit bois lit adulte lit 2 personnes lits jumeaux cadre pin sommier a lattes panneau fibr,Chambre Literie,Lit adulte,,,"[ 0.01599173  0.0697413  -0.03017132 ... -0.01683737  0.04971616
  0.03259569]",0.38714465,0.5118215,False,False,Chambre Literie,0.38714465498924255,Lit adulte,0.5118215084075928
centrales vapeur rowenta dg 9246 f 0,Petit Electroménager,Centrale vapeur,,,"[ 0.02503916  0.00535203  0.010161   ... -0.00080474 -0.00973465
 -0.01589958]",0.103294365,0.6055013,False,False,Petit Electroménager,0.24923133850097656,Centrale vapeur,0.6055012941360474
meuble tv banc tv tenus double 200 cm blanc mat blanc brillant led,Canapé Salon Séjour,Meuble tv,['blanc'],['200 cm'],"[ 0.05757596 -0.02713942  0.02616377 ... -0.0062955  -0.00732742
 -0.00308685]",0.2839818,0.57709825,False,False,Canapé Salon Séjour,0.34168118238449097,Meuble tv,0.5943695902824402
matelas 80x190 sommier demonte pieds protege matelas offerts mousse poli lattex indeformable 19 cm ferme tissu a a,Chambre Literie,Matelas + sommier,,"['80x190', '19 cm']","[-0.00831469  0.01248571 -0.04009913 ... -0.03342909 -0.00550787
  0.01703161]",0.32754558,0.5319356,False,False,Chambre Literie,0.3275455832481384,Matelas + sommier,0.5894016027450562
refrigerateur table top 98 litres,Gros Electroménager,Refrigerateur,,,[0.07118853 0.04561533 0.05298533 ... 0.03113745 0.01752642 0.00084436],0.18685475,0.6417177,False,False,Gros Electroménager,0.2515741288661957,Refrigerateur,0.6417176723480225
aspirateur sac,Petit Electroménager,Aspirateur traineau,,,"[ 0.0265584   0.04883375  0.04766548 ...  0.00114051 -0.02124241
 -0.00150382]",0.24527761,0.5585178,False,False,Petit Electroménager,0.24527761340141296,Aspirateur traineau,0.6563928127288818
lot 2 tania chaise tissu noir,Canapé Salon Séjour,Chaise,['noir'],,"[-0.04699235 -0.01363784  0.02324171 ... -0.02465652 -0.00294034
 -0.04362877]",0.2763535,0.5679313,False,False,Canapé Salon Séjour,0.27635350823402405,Chaise,0.5679312944412231
meuble tv vero bois 150 cm blanc mat pieds h tre huile,Canapé Salon Séjour,Meuble tv,['blanc'],['150 cm'],"[ 0.06390554 -0.01479838  0.02351607 ... -0.02882863  0.04238648
 -0.01053069]",0.28356248,0.5406091,False,False,Canapé Salon Séjour,0.2842601239681244,Meuble tv,0.5551770925521851
gardena manche telescopique 210 390 cm,Jardin Loisirs Sport,Accessoire jardin,,['390 cm'],"[ 0.02008249  0.05106422 -0.00445282 ...  0.00810321 -0.02523746
  0.00408465]",0.23303643,0.2681838,False,False,Jardin Loisirs Sport,0.23303642868995667,Accessoire jardin,0.3764505386352539
lot 6 stop porte metal cale porte anneaux silicone,Décoration Textile,Boudin porte,,,"[-0.0528734   0.01272023  0.01859953 ...  0.00171142  0.00912154
  0.0458975 ]",0.11342934,0.2620742,False,False,Décoration Textile,0.18532076478004456,Boudin porte,0.5670072436332703
icaverne lits cadres lit collection cadre lit palette bois pin massif 140 x 200 cm,Chambre Literie,Lit adulte,,"['140 x 200 cm', '200 cm']","[ 0.00881819  0.0078905  -0.01385387 ... -0.01366088  0.00684569
  0.02386388]",0.37965795,0.48212484,False,False,Chambre Literie,0.37965795397758484,Lit adulte,0.5310674905776978
superbe velo appartement cecofit power active 7018,Jardin Loisirs Sport,Accessoire fitness,,,"[-0.02399218 -0.00450163 -0.02047088 ...  0.05248453 -0.02990284
 -0.01888911]",0.15504575,0.36154747,False,False,Jardin Loisirs Sport,0.2200528085231781,Accessoire fitness,0.5106250047683716
matelas sommier ressorts 140x190 cm,Chambre Literie,Matelas + sommier,,['140x190 cm'],"[ 0.01021066  0.01124595 -0.00408988 ... -0.00745636 -0.05260729
 -0.02968588]",0.424449,0.60774183,False,False,Chambre Literie,0.42444899678230286,Matelas + sommier,0.6077418327331543
balaur bureau informatique angle chambre bureau 155x85x77 cm 3 tiroirs porte gloss table ordinateur multi rangements,Bureau Rangement,Bureau,,,"[-0.01246238  0.00393883  0.03564743 ... -0.00901838  0.02430594
 -0.00873684]",0.46327338,0.4004302,False,False,Bureau Rangement,0.46327337622642517,Bureau,0.4976307153701782
composition tv blanc brillant ch clair liliane 260 x 42 x h 185 cm,Canapé Salon Séjour,Meuble tv,['blanc'],"['260 x 42', '185 cm']","[ 0.03136322  0.00896072  0.02595501 ... -0.04988234  0.0073058
 -0.03316805]",0.21021853,0.35261872,False,False,Canapé Salon Séjour,0.27002575993537903,Meuble tv,0.4306095838546753
giantex table appoint a 3 niveaux bout canape etagere rangement style industriel chambre salon blanc,Petit Electroménager,Friteuse,['blanc'],,"[-0.02166548 -0.00736459 -0.00337751 ...  0.0207284   0.04268393
 -0.00376458]",0.2297456,0.0132871345,False,True,Petit Electroménager,0.448405385017395,Rangement a poser,0.5351535081863403
acer acer nitro xz272pbmiiphx 69cm 27p,TV Son Multimédia,Ecran PC,,['69cm'],"[ 0.02231947  0.00381848  0.0299894  ... -0.00925678  0.01005696
  0.0034383 ]",0.14963558,0.28373915,False,False,TV Son Multimédia,0.22661226987838745,Ecran PC,0.29538407921791077
vidaxl lampe suspendue industrielle fer bois manguier laiton e27,Décoration Textile,Plafonnier,,,"[ 0.0374901   0.07010254 -0.00361001 ...  0.03052384  0.02654589
  0.02751937]",0.09351214,0.33225957,False,False,Décoration Textile,0.15174010396003723,Plafonnier,0.5026140809059143
tosel evora suspension 1 lumiere violet,Enfant Bébé,Suspension,['violet'],,"[ 0.02877017  0.02176622 -0.0174264  ...  0.07580194  0.01691139
  0.00371934]",0.026529938,0.30376607,True,False,Décoration Textile,0.23196247220039368,Suspension,0.5050439834594727
bosch lame taille herbes 8 cm isio asb ags,Jardin Loisirs Sport,Taille haie,,['8 cm'],"[ 0.02425575 -0.03988845 -0.00414016 ... -0.00572179  0.00726775
  0.02730715]",0.20527504,0.47555536,False,False,Jardin Loisirs Sport,0.2052750438451767,Taille haie,0.4755553603172302
etagere 4 niveaux acier noir interieur exterieur plantes fleurs helloshop26 2702001,Bureau Rangement,Bibliotheque,"['noir', 'gris']",,"[ 0.06097735 -0.02348219 -0.03259623 ...  0.01580449  0.0610236
 -0.01743357]",0.2299566,0.21049386,False,False,Bureau Rangement,0.3250075578689575,Bibliotheque,0.5300847887992859
tosel lampadaire vili acier bois bois naturel 1xe27 abat jour tambour tissu ecru l50xl50xh156cm naturel,Décoration Textile,Lampadaire,['gris'],,"[-0.00013078  0.03817363 -0.03041592 ... -0.00639061  0.02841477
  0.01855517]",0.22772163,0.46428344,False,False,Décoration Textile,0.22772163152694702,Lampadaire,0.5131455063819885
parasol jardin sol 2 rectangle 2 x 3 bleu,Jardin Loisirs Sport,Parasol,['bleu'],,"[ 0.02951856  0.0158336  -0.00130522 ... -0.0022468   0.0563488
  0.0124462 ]",0.33587337,0.57043684,False,False,Jardin Loisirs Sport,0.3358733654022217,Parasol,0.5704368352890015
lit bebe evolutif combine transformable maxi plus rose,Enfant Bébé,Lit bébé,['rose'],,"[ 0.01510569  0.02932634  0.00294144 ...  0.03270319 -0.01397735
  0.0162498 ]",0.34930462,0.60776687,False,False,Enfant Bébé,0.3493046164512634,Lit bébé,0.60776686668396
lave vaisselle integrable bandeau inox,Gros Electroménager,Lave vaisselle,,,"[ 0.01086868  0.01163645  0.03690489 ... -0.01787913  0.05060625
  0.02631175]",0.36155498,0.6037147,False,False,Gros Electroménager,0.3862130343914032,Lave vaisselle,0.6037147045135498
housse v tement 135x60 cm,Bureau Rangement,Housse vetement,,['135x60 cm'],"[-0.04455148  0.05095549 -0.01688827 ... -0.01913399  0.02637787
  0.02564708]",0.1695733,0.6666941,False,False,Bureau Rangement,0.32664379477500916,Housse vetement,0.6666941046714783
lit enfant 140x70cm tiroir sommier matelas barre securite mbx color46,Enfant Bébé,Lit jeune,,['140x70cm'],"[-0.02507173 -0.00720815  0.00936191 ... -0.00808011 -0.01603177
  0.0026241 ]",0.36291587,0.525479,False,False,Enfant Bébé,0.47491610050201416,Lit jeune,0.5915789604187012
tectake bibliotheque lexi 5 etageres blanc,Bureau Rangement,Bibliotheque,['blanc'],,[0.01821643 0.00881258 0.02991566 ... 0.02388275 0.02406601 0.00274017],0.35247505,0.4856822,False,False,Bureau Rangement,0.35247504711151123,Bibliotheque,0.4856821894645691
mobili fiver table basse moderne emma ch made in italy,Canapé Salon Séjour,Table basse,,,"[ 0.06442457  0.01171787 -0.02811242 ...  0.00282057 -0.02150627
  0.008486  ]",0.21059138,0.4716636,False,False,Canapé Salon Séjour,0.2375769019126892,Table basse,0.5150106549263
superbe tables selection alofi table chevet hill range 46x35x49 5 cm bois pin solide,Chambre Literie,Chevet,,['5 cm'],"[ 0.04913167  0.03206813  0.00098991 ...  0.02570549  0.04437175
 -0.00681437]",0.25661612,0.28178084,False,False,Chambre Literie,0.277225136756897,Chevet,0.47732025384902954
filtre a graisse hotte 70 x 50 cm polyester,Petit Electroménager,Cafetière filtre,,"['70 x 50 cm', '50 cm']","[-0.03645573  0.00553334  0.02800577 ... -0.05789699  0.03316873
  0.02828443]",0.1941242,0.36909816,False,False,Petit Electroménager,0.25075221061706543,Cafetière filtre,0.44066858291625977
barre apprentissage universelle velo enfant aide tige perche,Jardin Loisirs Sport,Accessoire vélo,,,"[ 0.01826057  0.01993968 -0.04655551 ...  0.05461006 -0.00444378
 -0.00368373]",0.2134608,0.5718022,False,False,Jardin Loisirs Sport,0.2134608030319214,Accessoire vélo,0.5718021988868713
matelas confort 160x190 2 fermetes h2 h3 housse amovible hypoallergenique,Bureau Rangement,Meuble à chaussures,,['160x190'],"[-0.04107167  0.02690322  0.01347483 ... -0.00909367  0.00032889
 -0.00735822]",0.103690445,0.21625423,False,False,Bureau Rangement,0.35153672099113464,Meuble à chaussures,0.6086694002151489
giantex echelle etagere bois echelle bibliotheque style moderne 4 tablettes plantes livres 50 7x46x1x142 5cm bla,Canapé Salon Séjour,Etagère,,['5cm'],"[ 0.00717548 -0.03807079 -0.00531729 ...  0.01322329  0.01611283
  0.03749823]",0.18955359,0.3937657,False,False,Canapé Salon Séjour,0.30401039123535156,Etagère,0.48074090480804443
buffet 3 portes 3 tiroirs muriane,Canapé Salon Séjour,Buffet,,,"[-0.02330436  0.01488734  0.00246257 ...  0.00421482 -0.01420635
 -0.0135385 ]",0.21897402,0.24924919,False,False,Canapé Salon Séjour,0.36908453702926636,Buffet,0.5565170049667358
ensemble merinos candiz confort morphologique 90x190,Chambre Literie,Matelas + sommier,,['90x190'],"[ 0.0199184   0.01926942 -0.00068086 ... -0.01261012  0.01674102
  0.0255737 ]",0.2170425,0.3717741,False,False,Chambre Literie,0.38844776153564453,Matelas + sommier,0.4177391827106476
sommier 80x190 theta 24 lattes,Chambre Literie,Cadre à lattes,,['80x190'],"[ 0.05023034  0.03952955 -0.01462059 ... -0.00843812 -0.02537738
 -0.03815865]",0.3749859,0.40610537,False,False,Chambre Literie,0.3749859035015106,Cadre à lattes,0.5524845123291016
dutch decor housse coussin burto 60x60 cm snow white,Décoration Textile,Housse de coussin,,['60x60 cm'],"[ 0.00877639  0.0485885   0.00965535 ... -0.00993003 -0.01393084
 -0.02576268]",0.3176197,0.53232145,False,False,Décoration Textile,0.3176197111606598,Housse de coussin,0.5323214530944824
lave linge top 40cm 6kg 1200t a blanc tdlr6230lfr,Gros Electroménager,Lave linge,['blanc'],['40cm'],"[-0.01034686  0.03133363  0.05567659 ... -0.05641446  0.02477974
 -0.0204636 ]",0.2521357,0.5806972,False,False,Gros Electroménager,0.252135694026947,Lave linge,0.5806971788406372
lit cosy gigogne play blanc bois 90x190,Enfant Bébé,Lit jeune,['blanc'],['90x190'],"[ 0.0680811   0.01499653 -0.01520606 ...  0.00248406 -0.01023943
  0.00203967]",0.13658153,0.39174736,False,False,Enfant Bébé,0.41096726059913635,Lit jeune,0.5233334302902222
verre a pied 18 cl twist pasabahce lot 3,Décoration Textile,Set verre,,,"[-0.00554335 -0.02839035  0.00620835 ...  0.01088354 -0.0041322
 -0.00628264]",0.12760876,0.4088486,False,False,Décoration Textile,0.19772903621196747,Set verre,0.4088486135005951
protege matelas pvc 140 x 190 cm,Décoration Textile,Housse de couette,,"['140 x 190 cm', '190 cm']","[-0.03918532 -0.00868186  0.01863526 ... -0.02437725 -0.03956165
 -0.00235889]",0.29661775,0.4444887,False,False,Décoration Textile,0.4156302809715271,Housse de couette,0.7144355177879333
grohe flexible douche vitalioflex trend 1500 1 50 anti torsion gris argente,Cuisine Salle de bain,Colonne de douche,"['argenté', 'gris']",,"[-0.00192278 -0.00611248  0.0534731  ...  0.00232413  0.01677806
 -0.01749778]",0.15475932,0.34217232,False,False,Cuisine Salle de bain,0.1605193316936493,Colonne de douche,0.3421723246574402
matelas ressorts nina 90 x 190 x 30 cm,Chambre Literie,Matelas,,"['90 x 190', '30 cm']","[-0.01304962  0.00208276 -0.00913974 ... -0.02732303 -0.05917737
  0.00037091]",0.3451684,0.47547933,False,False,Chambre Literie,0.34516841173171997,Matelas,0.4876566529273987
patchwork lot 4 chaises scandinaves multicolore,Canapé Salon Séjour,Chaise,,,"[ 0.06533651 -0.03637297 -0.02862749 ...  0.00664506  0.02714675
 -0.0213085 ]",0.24803689,0.54956406,False,False,Canapé Salon Séjour,0.2789672613143921,Chaise,0.5845123529434204
ensemble matelas memoire sommier 90x190 h tel 5 etoiles hbedding 7 zones confort mousse memoire adaptative,Bureau Rangement,Meuble à chaussures,,['90x190'],"[-0.00908496  0.03826758 -0.00217686 ... -0.00195056  0.00246792
 -0.02698346]",0.16261463,0.18767908,False,False,Bureau Rangement,0.36910367012023926,Meuble à chaussures,0.5420527458190918
tapis enfant 120 x 120 cm nuages rose,Enfant Bébé,Tapis enfant,['rose'],"['120 x 120 cm', '120 cm']","[ 0.01622821 -0.08022998  0.04241966 ... -0.01786835  0.02916825
  0.03134793]",0.3349129,0.61816466,False,False,Enfant Bébé,0.33491289615631104,Tapis enfant,0.6181646585464478
coiffeuse blanche led,Chambre Literie,Coiffeuse,,,"[ 0.07082287  0.02717669 -0.00421166 ...  0.00887182 -0.01651108
  0.0068299 ]",0.17819148,0.5095174,False,False,Chambre Literie,0.20253929495811462,Coiffeuse,0.5315048694610596
oreiller douceur a memoire forme 60x60 cm lot 2,Décoration Textile,Taie d'oreiller,,['60x60 cm'],"[-0.00257848  0.07031479 -0.02001206 ...  0.00031974  0.0146637
  0.00023051]",0.20863104,0.5660087,False,False,Décoration Textile,0.3641652464866638,Taie d'oreiller,0.577241063117981
drap housse bonnet 30 cm 2 personnes 160 x 200 cm uni 57 fils lina kaki,Décoration Textile,Drap housse,['vert'],"['160 x 200 cm', '30 cm', '200 cm']","[-0.01728039  0.02160248 -0.00057333 ... -0.06111254  0.04197058
 -0.02063387]",0.29500142,0.57340586,False,False,Décoration Textile,0.29500141739845276,Drap housse,0.5734058618545532
vidaxl table console bois acacia massif 70 x 30 x 75 cm,Canapé Salon Séjour,Buffet,,"['70 x 30', '75 cm']","[ 0.02429443  0.00799114 -0.01322013 ...  0.0008428   0.02406541
  0.01892787]",0.34431306,0.12854177,False,True,Canapé Salon Séjour,0.3443130552768707,Table basse,0.5238287448883057
sommier bultex 2x80x200 cm sommier tapissier,Chambre Literie,Sommier,,,"[ 0.02105102  0.01085134 -0.00962737 ... -0.01008265 -0.01642405
 -0.02424397]",0.40744925,0.48501256,False,False,Chambre Literie,0.40744924545288086,Sommier,0.6060564517974854
carpette blanc 120 cm,Décoration Textile,Carpette,['blanc'],['120 cm'],"[ 0.03773965 -0.0391542   0.00734449 ... -0.03160004 -0.01487862
  0.03875419]",0.19582799,0.4637403,False,False,Décoration Textile,0.217550128698349,Carpette,0.4637402892112732
canape convertible 3 places clayton velours bleu,Canapé Salon Séjour,Canape droit,['bleu'],,"[ 0.00841387  0.01815838 -0.00264507 ...  0.01714433  0.02170242
 -0.05221387]",0.5591576,0.55274814,False,False,Canapé Salon Séjour,0.5591576099395752,Canape droit,0.5859994888305664
table basse vintage table appoint table salon etagere rangement treillis hexagonal aspect bois lct16x,Canapé Salon Séjour,Table basse,,,[0.03935833 0.04026398 0.019036   ... 0.02153964 0.05669226 0.00294676],0.34523857,0.6301699,False,False,Canapé Salon Séjour,0.38348934054374695,Table basse,0.6301699280738831
dodo surmatelas 160 x 200 polyester confortlof confortloft,Chambre Literie,Surmatelas,,['160 x 200'],"[ 0.02049015  0.02111586  0.01792878 ...  0.03416956  0.03970958
 -0.00353077]",0.4490366,0.6707634,False,False,Chambre Literie,0.4490365982055664,Surmatelas,0.670763373374939
plante artificielle verre,Décoration Textile,Objet deco,,,"[-0.00894009 -0.06001199  0.00483662 ...  0.00955936 -0.02550757
 -0.02198427]",0.18753996,0.270401,False,False,Décoration Textile,0.2795376181602478,Objet deco,0.6064168214797974
porte manteaux 14 boules 171 cm marron chrome,Bureau Rangement,Porte manteau,"['marron', 'argenté']",['171 cm'],"[-0.03774913  0.00913454 -0.02967573 ... -0.03023096  0.02320044
  0.02729106]",0.075436026,0.49383035,False,False,Bureau Rangement,0.13135090470314026,Porte manteau,0.4938303530216217
vasagle table appoint tiroir bout canape fin meuble rangement porte a persienne chambre salon cadre,Chambre Literie,Chevet,,,"[ 0.00152065  0.01366906  0.03615676 ... -0.00347481  0.03748408
  0.00278989]",0.36099565,0.25882638,False,False,Chambre Literie,0.4860225319862366,Chevet,0.5914108753204346
housse couette 220x240cm taupe fonce,Décoration Textile,Housse de couette,['beige'],['220x240cm'],"[-0.01529106  0.07555511  0.06127347 ... -0.03680152 -0.00750868
 -0.04015629]",0.33277592,0.6767303,False,False,Décoration Textile,0.37554237246513367,Housse de couette,0.6767302751541138
lit double adulte mathieu sommier 140x190 cm 2 places 2 personnes pied lit capitonnes tissu noir,Chambre Literie,Lit adulte,['noir'],['140x190 cm'],"[-0.01643689  0.02953532 -0.03382939 ...  0.00998348 -0.00890758
 -0.00412473]",0.4838763,0.6025684,False,False,Chambre Literie,0.4838762879371643,Lit adulte,0.6025683879852295
set 2 panieres rondes velours,Cuisine Salle de bain,Panier,,,"[ 0.04034237  0.004761   -0.02161045 ... -0.00110187  0.01761919
 -0.01253803]",0.19893228,0.54675466,False,False,Cuisine Salle de bain,0.2631103992462158,Panier,0.5467546582221985
8 places ensemble encastrable salon table jardin resine tressee gris ecru munga 8,Jardin Loisirs Sport,Salon de jardin,['gris'],,"[ 0.02648109 -0.02063231  0.02923756 ...  0.00779391  0.0060694
  0.01170595]",0.27666292,0.5141211,False,False,Jardin Loisirs Sport,0.35371339321136475,Salon de jardin,0.5215246677398682
taie oreiller polycoton 63 x 63 cm blanc,Décoration Textile,Taie d'oreiller,['blanc'],"['63 x 63 cm', '63 cm']","[ 0.01556657  0.0510819  -0.0117043  ... -0.00990536  0.00724326
  0.00143978]",0.26331264,0.60749114,False,False,Décoration Textile,0.28762900829315186,Taie d'oreiller,0.607491135597229
atmosphera tabouret bar confortable noir maxon h 92 cm,Canapé Salon Séjour,Bar,['noir'],['92 cm'],"[-0.01403071 -0.06045298  0.02505602 ... -0.00219342 -0.04391068
 -0.01540799]",0.2820055,0.3123514,False,False,Canapé Salon Séjour,0.2820054888725281,Bar,0.4661422073841095
table console hwc e92 table rangement table appoint structure 3d 100x40cm blanc,Bureau Rangement,Bureau,['blanc'],['100x40cm'],"[ 0.07279813 -0.03747026  0.02087512 ...  0.01917647  0.00999044
 -0.04413098]",0.40352303,0.3322368,False,False,Bureau Rangement,0.4035230278968811,Bureau,0.4938432574272156
dell dell km717 keyboard mouse fr wireless french azerty black fr noir,TV Son Multimédia,Clavier souris,['noir'],,"[-0.00936831  0.03914221  0.0322382  ...  0.03751849 -0.01480502
 -0.00610795]",0.16320187,0.31661043,False,False,TV Son Multimédia,0.16320186853408813,Clavier souris,0.3426526188850403
meuble tv banc tv messa 140 cm ch sonoma eclairage led,Canapé Salon Séjour,Meuble tv,,['140 cm'],"[ 0.06686077  0.01747662  0.01423435 ... -0.01637146 -0.02521916
 -0.02861096]",0.2768809,0.56394166,False,False,Canapé Salon Séjour,0.45090213418006897,Meuble tv,0.5639416575431824
nappe ronde 0 160 cm peva imprime anaba,Décoration Textile,Linge de table,,['160 cm'],"[ 0.04537095 -0.0309878  -0.02405246 ... -0.01573851  0.05655441
 -0.00986673]",0.22230293,0.32832164,False,False,Décoration Textile,0.22230292856693268,Linge de table,0.3771207630634308
five rideau douche vert emeraude,Cuisine Salle de bain,Rideau de douche,['vert'],,"[ 0.01571851 -0.00275266  0.01628563 ...  0.00309366  0.02976185
  0.01811179]",0.1848338,0.56174433,False,False,Cuisine Salle de bain,0.2368340790271759,Rideau de douche,0.5617443323135376
bricolage materiel magnifique echelle pliante a 7 marches 222 x 50 x 12 cm,Jardin Loisirs Sport,Visserie consommable,,"['222 x 50', '12 cm']","[ 0.05606886 -0.02363471 -0.01825506 ...  0.03938166  0.00270781
  0.0263519 ]",0.2084938,0.20037735,False,False,Jardin Loisirs Sport,0.20849379897117615,Visserie consommable,0.37386173009872437
neu haus cadre lit superpose metal armature massive 3 personnes 210cm x 147 5cm x 168cm noir,Chambre Literie,Lit adulte,['noir'],"['210cm', '5cm', '168cm']","[-0.0216846   0.01119517 -0.02331768 ... -0.0148564   0.00806096
  0.00711533]",0.35198456,0.45474535,False,False,Chambre Literie,0.35198456048965454,Lit adulte,0.4918857216835022
congelateur coffre 81cm 204l a blanc wh2111,Gros Electroménager,Congelateur,['blanc'],['81cm'],[0.06116476 0.06364045 0.03880174 ... 0.00718235 0.01453812 0.02554816],0.11573119,0.70712125,False,False,Gros Electroménager,0.19951000809669495,Congelateur,0.7071212530136108
trendy tapis couloir shaggy gris 80x300 cm,Décoration Textile,Tapis de Salon et Ch,['gris'],['80x300 cm'],"[ 0.01062782 -0.04936222  0.01705667 ... -0.01497228  0.05341303
 -0.01752706]",0.32549062,0.49550694,False,False,Décoration Textile,0.3349589705467224,Tapis de Salon et Ch,0.4955069422721863
barre caisson sans fil samsung hw t450 zf,TV Son Multimédia,Barre de son,,,"[ 0.00413253  0.08736926  0.04616932 ... -0.01663278 -0.01338378
 -0.01644054]",0.2215541,0.43162912,False,False,TV Son Multimédia,0.22155410051345825,Barre de son,0.4976419508457184
pack matelas a memoire forme maxi epaisseur buckingham 180x200cm double sommier 90x200 cm 2 oreillers 1 couette,Chambre Literie,Matelas + sommier,,"['180x200cm', '90x200 cm']","[-0.00845731  0.04527713  0.02342791 ...  0.01096508 -0.01233287
 -0.00997919]",0.49961984,0.6312421,False,False,Chambre Literie,0.49961984157562256,Matelas + sommier,0.6312420964241028
sintra commode style moderne chambre salon bureau 98x70x40 cm 4 tiroirs meuble rangement sonoma zebrano,Chambre Literie,Commode,,,"[ 0.01837872 -0.04255904  0.03522458 ...  0.00098695 -0.00768025
 -0.01018322]",0.33423507,0.3203994,False,False,Chambre Literie,0.501717209815979,Commode,0.5291792154312134
armoire nordy 80 cm couleur bois,Canapé Salon Séjour,Buffet,,['80 cm'],"[ 0.04109363  0.04071427 -0.01883572 ... -0.01301162  0.03824944
 -0.00070864]",0.29308736,0.15445104,False,True,Canapé Salon Séjour,0.3224993944168091,Armoire,0.5425695180892944
serre a tomates 4,Jardin Loisirs Sport,Serre de jardin,,,"[ 0.01477048  0.05543398 -0.04054789 ...  0.02737154  0.01383268
 -0.00660494]",0.20025057,0.54932934,False,False,Jardin Loisirs Sport,0.2002505660057068,Serre de jardin,0.5493293404579163
auna virginia radio numerique tuner dab dab bluetooth port usb lecture mp3 tuner fm,TV Son Multimédia,Radio CD,,,[0.04594301 0.06240584 0.05092971 ... 0.0451281  0.00623871 0.01189268],0.19604018,0.32068613,False,False,TV Son Multimédia,0.19604018330574036,Radio CD,0.40934354066848755
pouf carre simili cuir acier chrome beto blanc,Canapé Salon Séjour,Pouf / repose pied,"['argenté', 'blanc', 'gris']",,"[ 0.02331632 -0.04340822  0.00855387 ... -0.04395605 -0.00691455
 -0.00589501]",0.31448916,0.37514973,False,False,Canapé Salon Séjour,0.3144891560077667,Pouf / repose pied,0.3751497268676758
voilage enfant 145 x 245 cm a oeillets imprime personnages toy story multicolore,Décoration Textile,Voilage,,"['145 x 245 cm', '245 cm']","[-0.01124831 -0.05932591 -0.00906058 ...  0.01717346  0.0027828
  0.02147927]",0.32219505,0.36141932,False,False,Décoration Textile,0.32219505310058594,Voilage,0.3946470320224762
table basse design verre noir metal dore rectangulaire solal,Canapé Salon Séjour,Table basse,['noir'],,"[ 0.02445053  0.01928796 -0.01235311 ...  0.01300465  0.02757975
 -0.00343802]",0.17300814,0.5864443,False,False,Canapé Salon Séjour,0.23269201815128326,Table basse,0.5864443182945251
hilda fauteuil tissu jaune scandinave 62 x p 60 cm,Canapé Salon Séjour,Canape droit,['jaune'],['60 cm'],"[ 0.03030729  0.02054126 -0.03097692 ... -0.03149772  0.02999948
 -0.02484009]",0.33828133,0.3535822,False,False,Canapé Salon Séjour,0.3382813334465027,Canape droit,0.5884267687797546
horno teka hsb 610 negro hydroclean clase a 60cm,Gros Electroménager,Four,,['60cm'],"[ 0.02165324  0.02045183  0.02354898 ... -0.05043815  0.00305333
  0.01606886]",0.15679431,0.07671386,False,True,Gros Electroménager,0.21459734439849854,Miroir salle de bain,0.32478490471839905
klarstein dr watson supersoft couverture chauffante 180x130cm 120w micro peluche lavable creme gris,Petit Electroménager,Autre soin personne,['gris'],['180x130cm'],"[ 0.00446332  0.07048551  0.05143495 ... -0.02716682  0.01255492
 -0.0289942 ]",0.055324405,0.11883996,True,True,Petit Electroménager,0.1468997746706009,Parasol chauffant,0.4935770332813263
lit led maria 140 x 190 cm blanc,Chambre Literie,Lit adulte,['blanc'],"['140 x 190 cm', '190 cm']","[ 0.04464563  0.01063871 -0.00636034 ... -0.01963389 -0.05480119
  0.02803708]",0.29370934,0.37057918,False,False,Chambre Literie,0.29370933771133423,Lit adulte,0.4209323525428772
atmosphera ruban led a variation couleurs 3 metres telecommande,Décoration Textile,Objets lumineux,,,"[ 0.00968821  0.01618031 -0.02134007 ...  0.01042088  0.01186172
  0.0162614 ]",0.21572703,0.32119882,False,False,Décoration Textile,0.2356056272983551,Objets lumineux,0.39690718054771423
couette 240x220 cm bicolore terra gris,Chambre Literie,Couette,['gris'],['240x220 cm'],"[ 0.00995315  0.03831676  0.00491642 ... -0.00095125  0.02841002
 -0.02302968]",0.31659028,0.5354587,False,False,Chambre Literie,0.316590279340744,Couette,0.5354586839675903
applique leeds bras articulee noir blanc e27 40w,Décoration Textile,Applique,"['blanc', 'noir']",,"[ 0.03613295  0.05413128  0.02866961 ... -0.01819364  0.01483243
 -0.0142296 ]",0.17377922,0.3302439,False,False,Décoration Textile,0.18500007688999176,Applique,0.377291738986969
telecommande filaire,Chambre Literie,Sommier,,,"[-0.0137259   0.07709964 -0.00931361 ...  0.07508717  0.00664084
 -0.02401582]",0.079355985,0.058065727,False,True,Chambre Literie,0.307686984539032,Telecommande,0.6333156824111938
mastic colle souple sika sika fixotuile terre cuite 300ml,Jardin Loisirs Sport,Visserie consommable,,,"[ 0.00411409 -0.02349775  0.04902612 ...  0.02078107  0.00442342
  0.04522862]",0.10820645,0.26099825,False,False,Jardin Loisirs Sport,0.17674511671066284,Visserie consommable,0.43034422397613525
